업종명,업소명,소재지(도로명),소재지전화
일반음식점,대중순대,전북특별자치도 장수군 장수읍 시장통길 3,063-351-0788
일반음식점,영광분식,전북특별자치도 장수군 천천면 춘송길 13,063-352-4690
일반음식점,뜬봉샘가든,전북특별자치도 장수군 장수읍 장수로 1458,063-352-5533
일반음식점,옛날순두부,전북특별자치도 장수군 계북면 장무로 1336,063-352-2968
일반음식점,솔길산장,전북특별자치도 장수군 장계면 의암로 450-10,063-353-5159
일반음식점,청기와집,전북특별자치도 장수군 장계면 한들로 181,063-353-5292
일반음식점,갈비마을 이호점,전북특별자치도 장수군 장수읍 백장로 2167,063-351-2296
일반음식점,다미식당,전북특별자치도 장수군 장수읍 호비로 27,063-351-0950
일반음식점,원촌가든,전북특별자치도 장수군 번암면 신원길 10-20,063-353-3026
일반음식점,향토식당,전북특별자치도 장수군 장계면 서동로 27,063-353-0909
일반음식점,논개생가식당,전북특별자치도 장수군 장계면 의암로 558,063-352-7777
일반음식점,붕붕오리나라,전북특별자치도 장수군 장수읍 준비취락길 19-10,063-351-0132
일반음식점,영대회관,전북특별자치도 장수군 산서면 등석1길 4-21,063-351-3658
일반음식점,산마을,전북특별자치도 장수군 산서면 보산로 1865-6,063-351-4798
일반음식점,황궁 중화요리,전북특별자치도 장수군 장수읍 장천로 226,063-351-7533
일반음식점,알라딘,전북특별자치도 장수군 장수읍 장천로 188,063-351-6688
일반음식점,정성회관,전북특별자치도 장수군 장계면 서동로 28-2,063-353-1800
일반음식점,길목식당,전북특별자치도 장수군 번암면 장수로 198,063-353-3574
일반음식점,함지박,전북특별자치도 장수군 장수읍 장천로 197,063-351-0467
일반음식점,맥시칸,전북특별자치도 장수군 장수읍 준비길 7,063-351-3362
일반음식점,장수마루,전북특별자치도 장수군 번암면 방화동로 633,063-353-3682
일반음식점,부자회관,전북특별자치도 장수군 장계면 장무로 241,063-353-0102
일반음식점,시골쌀밥,전북특별자치도 장수군 계남면 장수로 3061,063-351-1779
일반음식점,가위바위보,전북특별자치도 장수군 장계면 장무로 199-1,063-353-1119
일반음식점,휴게식당,전북특별자치도 장수군 산서면 보산로 1870,
일반음식점,신포 우리 만두,전북특별자치도 장수군 장수읍 시장로 5-3,063-352-0408
일반음식점,보리밥집,전북특별자치도 장수군 산서면 보산로 1780,063-351-1352
일반음식점,사람이사는마을,전북특별자치도 장수군 장계면 한들로 100,063-352-0337
일반음식점,다정식당,전북특별자치도 장수군 계남면 장수로 3057,063-351-1613
일반음식점,장수뷔페,전북특별자치도 장수군 장수읍 비행로 996,063-351-7772
일반음식점,한정식당,전북특별자치도 장수군 계남면 장수로 3080,063-352-0916
일반음식점,백호복집,전북특별자치도 장수군 장계면 백화로 8,063-351-1121
일반음식점,남장수가든,전북특별자치도 장수군 번암면 장수로 92-7,063-353-2105
일반음식점,페리카나치킨장계대리점,전북특별자치도 장수군 장계면 한들로 79,063-352-8292
일반음식점,자매반점,전북특별자치도 장수군 번암면 신평로 318 (시동강),063-353-7707
일반음식점,장수 손두부,전북특별자치도 장수군 장계면 동동천변길 18,063-352-0117
일반음식점,중국집,전북특별자치도 장수군 장계면 서동2길 2,063-353-5207
일반음식점,양지가마솥,전북특별자치도 장수군 장계면 장계1길 28-18,063-352-2476
일반음식점,장수 오케이 맛집,전북특별자치도 장수군 장수읍 방촌길 26,063-351-8877
일반음식점,티바두마리치킨,전북특별자치도 장수군 장계면 한들로 90-1,063-351-1166
일반음식점,힐링캠프장 식당,전북특별자치도 장수군 장수읍 장수로 2605-5,063-352-4444
일반음식점,양옥식당,전북특별자치도 장수군 천천면 송탄로 40-1,063-352-1989
일반음식점,영화정육식당,전북특별자치도 장수군 장수읍 비행로 1005-28,063-353-7005
일반음식점,장수명품관,전북특별자치도 장수군 장수읍 방촌길 16,063-353-8088
일반음식점,일미분식,전북특별자치도 장수군 계북면 느랏길 18,063-353-2366
일반음식점,명가,전북특별자치도 장수군 장수읍 시장로 26,063-351-7622
일반음식점,모두랑피자치킨,전북특별자치도 장수군 장수읍 구시장길 6-4,063-353-9989
일반음식점,주)장수힐스리조트,전북특별자치도 장수군 천천면 승마1로 60-36,063-350-8000
일반음식점,임실치즈피자,전북특별자치도 장수군 장수읍 관두길 18  장수북동주공아파트 상가 102호,063-351-2323
일반음식점,선이네 다슬기집,전북특별자치도 장수군 산서면 비행로 12,063-351-3199
일반음식점,해피타임 다슬기,전북특별자치도 장수군 장계면 한들3길 7,
일반음식점,청산,전북특별자치도 장수군 장수읍 노하1길 2,0507-1302-1526
일반음식점,장수한우마을,전북특별자치도 장수군 계남면 지소골길 18-6,063-352-6002
일반음식점,분식랜드,전북특별자치도 장수군 장수읍 장천로 186,
일반음식점,장수와 행복한 농부,전북특별자치도 장수군 장수읍 장천로 159,063-351-9991
일반음식점,양평해장국 장수점,전북특별자치도 장수군 장계면 의암로 1065,063-351-7397
일반음식점,온고을,전북특별자치도 장수군 계남면 유천길 40-27,063-351-0436
일반음식점,보배식당,전북특별자치도 장수군 천천면 송탄3길 6  보배식당,063-353-0250
일반음식점,푸디스트(주) 덕유산하행휴게소점(소담뚝배기),전북특별자치도 장수군 계북면 통영대전고속도로 147, 063-353-5100
일반음식점,멕시카나치킨. 장충동왕족발 보쌈,전북특별자치도 장수군 장계면 장무로 243,063-352-2288
일반음식점,일월 한식,전북특별자치도 장수군 장수읍 구시장길 6-4,0633-5264-71
일반음식점,정대포,전북특별자치도 장수군 장계면 한들3길 3,063-351-6101
일반음식점,진풍장회관,전북특별자치도 장수군 천천면 춘송길 19,063-352-0068
일반음식점,BBQ 장수장계점,전북특별자치도 장수군 장계면 장무로 235,063-353-0025
일반음식점,양평 해장국(장수군청점),전북특별자치도 장수군 장수읍 장천로 125,
일반음식점,일두백미,전북특별자치도 장수군 장수읍 송천로 142,063-351-5373
일반음식점,무지개가든,전북특별자치도 장수군 번암면 장수로 475,063-353-5209
일반음식점,(유)타코마장수관광농원,전북특별자치도 장수군 계남면 장수로 2662-11,063-353-8200
일반음식점,청산별곡,전북특별자치도 장수군 장수읍 덕산로 763-48,063-353-3900
일반음식점,장수한우명품관,전북특별자치도 장수군 장수읍 군청길 19,063-352-8088
일반음식점,장수골프리조트 클럽하우스,전북특별자치도 장수군 계남면 장안산로 303,063-351-1112
일반음식점,장안식당,전북특별자치도 장수군 계남면 장안산로 271,063-352-2254
일반음식점,원촌식당,전북특별자치도 장수군 계북면 원촌길 2,063-352-1554
일반음식점,왕반점,전북특별자치도 장수군 장계면 한들3길 5,063-353-7971
일반음식점,피자투어,전북특별자치도 장수군 장계면 한들로 64  101동 102호,063-352-5599
일반음식점,북경,전북특별자치도 장수군 장수읍 호비로 37,063-351-9900
일반음식점,복수 구내식당,전북특별자치도 장수군 계남면 장수로 2734,
일반음식점,루트,전북특별자치도 장수군 장계면 시장천변길 44,
일반음식점,와룡자연휴양림식당,전북특별자치도 장수군 천천면 비룡로 632,063-352-2356
일반음식점,무교동 낙지마당,전북특별자치도 장수군 장수읍 시장로 31-5,063-351-1318
일반음식점,탑,전북특별자치도 장수군 장수읍 시장로 10,063-352-5488
일반음식점,진숙이네 집밥,전북특별자치도 장수군 장계면 장무로 194,063-353-2526
일반음식점,비에이치씨(BHC) 치킨,전북특별자치도 장수군 장수읍 구시장길 6-18,063-352-9282
일반음식점,산서치킨,전북특별자치도 장수군 산서면 보산로 1864-11  2동 202호,
일반음식점,한우랑 돼지랑,전북특별자치도 장수군 계남면 장안산로 325-1,063-353-1417
일반음식점,장수촌 회관,전북특별자치도 장수군 장계면 장무로 210,063-351-1056
일반음식점,돈희야,전북특별자치도 장수군 장수읍 시장로 11  B동 1호,063-351-2066
일반음식점,산서분식,전북특별자치도 장수군 산서면 보산로 1864-11  2동 201호,063-351-4242
일반음식점,감탄 장수읍점,전북특별자치도 장수군 장수읍 싸리재로 4,063-351-1235
일반음식점,초원가든,전북특별자치도 장수군 계북면 양악길 15,063-353-5425
일반음식점,바다의 향기,전북특별자치도 장수군 장계면 육십령로 374-5,063-352-1399
일반음식점,정해원,전북특별자치도 장수군 장수읍 시장로 11  장수시장 음식동,063-352-2352
일반음식점,돈치킨 장수점,전북특별자치도 장수군 장수읍 시장로 2,063-351-9990
일반음식점,몽실이 비어,전북특별자치도 장수군 장수읍 장천로 222-2,063-352-3526
일반음식점,은하식당,전북특별자치도 장수군 계북면 장무로 972,063-352-5540
일반음식점,맛꼬방,전북특별자치도 장수군 번암면 장수로 489,063-353-2763
일반음식점,콩마을 순두부,전북특별자치도 장수군 장수읍 시장로 14,063-352-9292
일반음식점,산마루,전북특별자치도 장수군 계남면 장수로 2652-4,063-352-0088
일반음식점,하늘가든 바다 양푼이 동태탕,전북특별자치도 장수군 장계면 문화로 23,063-351-5750
일반음식점,호타루 초밥,전북특별자치도 장수군 장수읍 시장로 31-2,063-351-9280
일반음식점,하누가,전북특별자치도 장수군 천천면 승마로 1005-24,063-353-8856
일반음식점,농업회사법인장수레드푸드주식회사,전북특별자치도 장수군 장계면 한들로 159,063-352-7982
일반음식점,큰가마솥 순대국,전북특별자치도 장수군 번암면 신평로 319  시동강천변공원시장동 1층 3호,063-353-6723
일반음식점,주리 비어,전북특별자치도 장수군 장수읍 장천로 181,063-352-7989
일반음식점,장수촌정육식당,전북특별자치도 장수군 장계면 시장천변길 36  4동 401호 (장계시장),063-351-1456
일반음식점,카페 현실이네,전북특별자치도 장수군 계남면 장안산로 303,
일반음식점,따뜻한 밥상,전북특별자치도 장수군 장수읍 군청길 4,
일반음식점,육십령 고을,전북특별자치도 장수군 장계면 동명길 29,063-351-1904
일반음식점,장수향레시피,전북특별자치도 장수군 장수읍 시장로 11,
일반음식점,느랏회관,전북특별자치도 장수군 계북면 장무로 967-1,063-352-2400
일반음식점,꽃감님네 산야초 장아찌 정식,전북특별자치도 장수군 장수읍 준비취락길 15-10,0507-1413-1504
일반음식점,본래순대 장수점,전북특별자치도 장수군 장수읍 구시장길 2,063-351-3171
일반음식점,산촌가든,전북특별자치도 장수군 계북면 월현로 278,063-353-1187
일반음식점,불개미,전북특별자치도 장수군 장수읍 시장로 19,063-353-8565
일반음식점,우박집,전북특별자치도 장수군 장계면 한들로 60,063-353-3355
일반음식점,숯불갈비 엔 뷔페,전북특별자치도 장수군 장수읍 장수북동1길 9,063-352-4577
일반음식점,까만 돈,전북특별자치도 장수군 계남면 가곡길 1,063-352-0308
일반음식점,장수 사과빵 공방,전북특별자치도 장수군 장수읍 장천로 162,
일반음식점,안미성,전북특별자치도 장수군 계남면 장수로 3072,063-352-3289
일반음식점,좋은 날,전북특별자치도 장수군 번암면 지지로 97-21,063-353-0633
일반음식점,옛날통닭 장계점,전북특별자치도 장수군 장계면 장계천변길 51-6,063-352-0045
일반음식점,도깨비계곡산장,전북특별자치도 장수군 계남면 지소골길 140,063-351-8460
일반음식점,그때 그시절,전북특별자치도 장수군 장수읍 시장로 11  D동 4호 (장수시장),
일반음식점,은하 식당,전북특별자치도 장수군 장계면 서동로 18,063-353-3828
일반음식점,583양조장,전북특별자치도 장수군 장계면 의암로 583-8,063-353-5515
일반음식점,족발이랑 보쌈이랑,전북특별자치도 장수군 장수읍 장천로 214,063-351-0222
일반음식점,부뚜막,전북특별자치도 장수군 장수읍 싸리재로 4,063-353-8006
일반음식점,장수 농가맛식당,전북특별자치도 장수군 계남면 침령길 58,
일반음식점,청계,전북특별자치도 장수군 계남면 장무로 185-25,063-352-2708
일반음식점,장수 죽 전문점,전북특별자치도 장수군 장수읍 장천로 182,063-351-5800
일반음식점,다올,전북특별자치도 장수군 장계면 장무로 364-13,0507-1318-0619
일반음식점,산애,전북특별자치도 장수군 장수읍 시장로 31-2,063-353-0707
일반음식점,맑은 다슬기,전북특별자치도 장수군 장계면 서동로 21,063-353-0757
일반음식점,대곡가든,전북특별자치도 장수군 장계면 의암로 632-12,063-353-7123
일반음식점,병천순대,전북특별자치도 장수군 장계면 문화로 45-3,063-353-0125
일반음식점,장터식당,전북특별자치도 장수군 장수읍 시장로 15  장수시장 음식점동 2호,063-351-7415
일반음식점,돌돌이 김밥,전북특별자치도 장수군 장계면 장무로 211,063-352-1211
일반음식점,싸이공퍼,전북특별자치도 장수군 장수읍 시장로 23,063-353-9668
일반음식점,사랑방,전북특별자치도 장수군 장수읍 장수북동길 3,063-351-5550
일반음식점,오다 가다,전북특별자치도 장수군 장계면 한들3길 6-1,
일반음식점,풍경,전북특별자치도 장수군 번암면 신평로 319  시동천변공원 2층 2호,
일반음식점,장수젊은한우,전북특별자치도 장수군 장수읍 노하3길 27  장수젊은한우,063-351-2345
일반음식점,카페 엘온(Cafe L.ON),전북특별자치도 장수군 장수읍 시장로 31-5,
일반음식점,장수 신토불이,전북특별자치도 장수군 산서면 비행로 342-9,063-351-3169
일반음식점,일품 장수흑염소,전북특별자치도 장수군 산서면 보산로 1857,063-353-7778
일반음식점,한들로 58,전북특별자치도 장수군 장계면 한들로 110,063-353-1515
일반음식점,커피바 헬로우,전북특별자치도 장수군 장수읍 군청길 34,063-353-5652
일반음식점,천천 닭 한마리,전북특별자치도 장수군 천천면 송탄로 39,063-352-9987
일반음식점,황박사,전북특별자치도 장수군 장수읍 시장로 31-2,063-352-3737
일반음식점,덕순네 쿠킹 앤(&) 베이킹 스튜디오,전북특별자치도 장수군 장계면 장무로 237-2,063-353-7700
일반음식점,예전 소주방,전북특별자치도 장수군 장계면 장무로 224-1,063-353-7080
일반음식점,신흥반점,전북특별자치도 장수군 장계면 장무로 273,063-353-0160
일반음식점,산서치킨,전북특별자치도 장수군 산서면 비행로 34,063-351-3437
일반음식점,생면집,전북특별자치도 장수군 장수읍 장천로 162,
일반음식점,찰솥밥 추어탕,전북특별자치도 장수군 장수읍 호비로 3-2,063-352-1717
일반음식점,하루 &(앤드) 라라,전북특별자치도 장수군 장계면 서동로 30  1호,
일반음식점,짝,전북특별자치도 장수군 장수읍 군청길 5,063-352-3202
일반음식점,137(일삼칠),전북특별자치도 장수군 장계면 한들로 137,063-353-0137
일반음식점,방아분식,전북특별자치도 장수군 계북면 장무로 1345,063-352-2889
일반음식점,사랑치킨,전북특별자치도 장수군 장계면 신동서로 19,063-351-0284
일반음식점,돈꼬닥,전북특별자치도 장수군 번암면 장수로 490-3,
일반음식점,타짜장면,전북특별자치도 장수군 장계면 장무로 195,063-352-3530
일반음식점,청실홍실 카페,전북특별자치도 장수군 장계면 한들로 83,063-353-5032
일반음식점,포차천국,전북특별자치도 장수군 장수읍 장천로 199,063-351-1009
일반음식점,맛꼬방 산서점,전북특별자치도 장수군 산서면 보산로 1871-3,063-351-1375
일반음식점,장수골프리조트 직원식당,전북특별자치도 장수군 계남면 장안산로 303  장수CC 관리동A동 1층,
일반음식점,실미 칼국수,전북특별자치도 장수군 장수읍 호비로 30,
일반음식점,천천 피순대,전북특별자치도 장수군 천천면 송탄4길 8,
일반음식점,갈비마을,전북특별자치도 장수군 장수읍 시장로 27-11,063-351-0477
일반음식점,장수밥상,전북특별자치도 장수군 장수읍 논개사당길 65  누리파크,063-353-3536
일반음식점,교촌치킨 장수점,전북특별자치도 장수군 장수읍 준비취락길 13-9,063-351-1999
일반음식점,향어마을,전북특별자치도 장수군 장계면 서동로 30,063-352-9233
일반음식점,차한잔의 자유,전북특별자치도 장수군 장수읍 장천로 179  장수신용협동조합,063-352-3114
일반음식점,7번가 피자,전북특별자치도 장수군 장수읍 시장로 2,063-351-9990
일반음식점,뉴욕버거 장수장계점,전북특별자치도 장수군 장계면 장무로 269,063-352-0160
일반음식점,다원 카페,전북특별자치도 장수군 장계면 장계천변길 55-4,063-351-1233
일반음식점,금빛다실,전북특별자치도 장수군 장수읍 구시장길 6-4,
일반음식점,맹이네 짜장,전북특별자치도 장수군 산서면 신덕길 3,
일반음식점,역전할머니 맥주 전북 장수점,전북특별자치도 장수군 장수읍 신천로 31,063-352-7624
일반음식점,커피박스(COFFEE BOX),전북특별자치도 장수군 계남면 장수로 3088,
일반음식점,수산시장 셀프식당,전북특별자치도 장수군 장계면 신동북로 12  102호,063-351-1110
일반음식점,솜리치킨 장수점,전북특별자치도 장수군 장수읍 방촌길 33,063-351-8292
일반음식점,황소 한마리,전북특별자치도 장수군 장계면 한들로 59,063-352-7892
일반음식점,세븐 카페,전북특별자치도 장수군 번암면 장수로 476,
일반음식점,꼬모 베어,전북특별자치도 장수군 장수읍 시장로 8-17,
일반음식점,라면 먹고 갈래,전북특별자치도 장수군 장계면 한들로 93,
일반음식점,BHC 장수장계점,전북특별자치도 장수군 장계면 장무로 269,063-352-0160
일반음식점,족발예찬,전북특별자치도 장수군 장수읍 방촌길 26,063-353-5959
일반음식점,구하숲,전북특별자치도 장수군 장계면 의암로 632-8,
일반음식점,분식이랑,전북특별자치도 장수군 장계면 한들로 81,063-351-4946
일반음식점,신원짬뽕,전북특별자치도 장수군 장수읍 호비로 7,
일반음식점,풍천장어,전북특별자치도 장수군 장계면 의암로 535-6,
일반음식점,오 그집,전북특별자치도 장수군 계남면 장안산로 303,
일반음식점,오늘의 밥상,전북특별자치도 장수군 장계면 한들로 87,063-351-6010
일반음식점,쭌이네 백반,전북특별자치도 장수군 계북면 장무로 970  장수계북우체국,
일반음식점,싸이공쌀국수,전북특별자치도 장수군 장수읍 장수북동길 3,063-353-1110
일반음식점,곤지암 소머리국밥,전북특별자치도 장수군 번암면 장수로 113  1층,063-353-6677
일반음식점,한우랑 사과,전북특별자치도 장수군 계남면 장수로 2794  장수로컬푸드영농조합법인,
일반음식점,카페 한우랑사과,전북특별자치도 장수군 계남면 장수로 2794  장수로컬푸드영농조합법인,
일반음식점,수원갈비,전북특별자치도 장수군 장수읍 군청길 6,063-353-7123
일반음식점,흑돼지 전문점 고깃,전북특별자치도 장수군 장수읍 장천로 202,063-353-8090
일반음식점,민경이네 집,전북특별자치도 장수군 장계면 한들로 107  2층,
일반음식점,사거리 카페,전북특별자치도 장수군 장계면 한들로 99  2층,063-351-2234
일반음식점,Le Cafe CouCou(르카페 꾸꾸),전북특별자치도 장수군 장수읍 시장로 31-2  101호,
일반음식점,현대옥 장수군청점,전북특별자치도 장수군 장수읍 교촌로 21,063-353-3248
일반음식점,송큰치킨,전북특별자치도 장수군 계북면 장무로 975,
일반음식점,뚱자네,전북특별자치도 장수군 장수읍 장천로 220  102호,
일반음식점,월남 샤브샤브,전북특별자치도 장수군 장수읍 방촌길 3,
일반음식점,라태산마라탕,전북특별자치도 장수군 장수읍 신천로 31  2호,063-352-5657
일반음식점,장수한우특별시 사업단,전북특별자치도 장수군 장수읍 중동길 7,063-351-8885
일반음식점,어로 장계점,전북특별자치도 장수군 장계면 신동서로 3,063-784-8654
일반음식점,티스토리(T-story),전북특별자치도 장수군 장수읍 장천로 185,063-351-0961
일반음식점,카잔,전북특별자치도 장수군 장수읍 송천로 159-2  1층,
일반음식점,로타리 돈까스,전북특별자치도 장수군 장수읍 싸리재로 4  2층,
일반음식점,더레드하우스 베이커리카페,전북특별자치도 장수군 계남면 장무로 13-23,0507-1437-3522
일반음식점,미각,전북특별자치도 장수군 장계면 시장천변길 28  장계재래시장장옥B블럭 4동 405호,
일반음식점,세바퀴,전북특별자치도 장수군 장수읍 장천로 163,
일반음식점,정가네 식당,전북특별자치도 장수군 장수읍 장수북동길 12,
일반음식점,포니 하우스,전북특별자치도 장수군 장수읍 승마로 42  포니하우스,063-351-7313
일반음식점,장금이 밥상,전북특별자치도 장수군 번암면 신평로 322,063-352-7475
일반음식점,솜리가맥,전북특별자치도 장수군 장수읍 방촌길 33,
일반음식점,한스커피,전북특별자치도 장수군 장계면 한들3길 12  2층,
일반음식점,어로 장수점,전북특별자치도 장수군 장수읍 군청길 28,063-938-9810
일반음식점,장수 인사동 찻집,전북특별자치도 장수군 장수읍 보훈길 17,
일반음식점,레드 빌리지,전북특별자치도 장수군 장수읍 개실길 123,
일반음식점,사랑하오리,전북특별자치도 장수군 계남면 장무로 185-11  [*미고시],
일반음식점,로드 296,전북특별자치도 장수군 장계면 한들로 88  2층,
일반음식점,현희 갈비탕,전북특별자치도 장수군 장수읍 장천로 222-2,
일반음식점,야식,전북특별자치도 장수군 장계면 한들로 105-1,063-351-6461
일반음식점,토마토,전북특별자치도 장수군 장수읍 군청길 3,
일반음식점,산서반점,전북특별자치도 장수군 산서면 비행로 33,
일반음식점,상상 맥주하우스,전북특별자치도 장수군 장수읍 방촌길 3,
일반음식점,솔카페,전북특별자치도 장수군 장계면 북동1로 41-1,
일반음식점,정심,전북특별자치도 장수군 장계면 한들로 79,
일반음식점,가야순대분식,전북특별자치도 장수군 장수읍 장천로 170-1,
일반음식점,인생술집,전북특별자치도 장수군 장수읍 장천로 172,
일반음식점,신바람난 찐빵만두,전북특별자치도 장수군 장계면 서동로 34,
일반음식점,오케이 식당, ,
일반음식점,신선 염소탕,전북특별자치도 장수군 장수읍 시장로 8-13,
일반음식점,Le Caf? CouCou(르카페 꾸꾸),"전북특별자치도 장수군 장수읍 시장로 31-2, 101호",
일반음식점,현대옥 장수군청점,전북특별자치도 장수군 장수읍 교촌로 21,063-353-3248
일반음식점,송큰치킨,전북특별자치도 장수군 계북면 장무로 975,
일반음식점,솔카페,전북특별자치도 장수군 장계면 북동1로 41-1,
일반음식점,뚱자네,"전북특별자치도 장수군 장수읍 장천로 220, 102호",
일반음식점,라화쿵부,전북특별자치도 장수군 장수읍 방촌길 3,
일반음식점,태산마라탕,"전북특별자치도 장수군 장수읍 신천로 31, 2호",063-352-5657
일반음식점,장수한우특별시 사업단,전북특별자치도 장수군 장수읍 중동길 7,063-351-8885
일반음식점,어로,전북특별자치도 장수군 장계면 신동서로 3,
